scenario,origin,dest,period,period_label,total_demand
weekday,0,0,0,06:00-07:00,0.02
weekday,0,0,1,07:00-08:00,0.02
weekday,0,0,2,08:00-09:00,0.02
weekday,0,0,3,09:00-10:00,0.02
weekday,0,0,4,10:00-12:00,0.02
weekday,0,0,5,12:00-14:00,0.02
weekday,0,0,6,14:00-16:00,0.02
weekday,0,0,7,16:00-17:00,0.02
weekday,0,0,8,17:00-18:30,0.02
weekday,0,0,9,18:30-22:30,0.02
weekday,0,1,0,06:00-07:00,0.02
weekday,0,1,1,07:00-08:00,0.02
weekday,0,1,2,08:00-09:00,0.02
weekday,0,1,3,09:00-10:00,0.02
weekday,0,1,4,10:00-12:00,0.02
weekday,0,1,5,12:00-14:00,3.591428571428571
weekday,0,1,6,14:00-16:00,0.02
weekday,0,1,7,16:00-17:00,0.02
weekday,0,1,8,17:00-18:30,0.02
weekday,0,1,9,18:30-22:30,3.591428571428571
weekday,0,2,0,06:00-07:00,0.02
weekday,0,2,1,07:00-08:00,0.02
weekday,0,2,2,08:00-09:00,0.02
weekday,0,2,3,09:00-10:00,0.02
weekday,0,2,4,10:00-12:00,0.02
weekday,0,2,5,12:00-14:00,0.02
weekday,0,2,6,14:00-16:00,0.02
weekday,0,2,7,16:00-17:00,0.02
weekday,0,2,8,17:00-18:30,0.02
weekday,0,2,9,18:30-22:30,0.02
weekday,0,3,0,06:00-07:00,0.02
weekday,0,3,1,07:00-08:00,0.02
weekday,0,3,2,08:00-09:00,0.02
weekday,0,3,3,09:00-10:00,0.02
weekday,0,3,4,10:00-12:00,0.02
weekday,0,3,5,12:00-14:00,7.162857142857142
weekday,0,3,6,14:00-16:00,0.02
weekday,0,3,7,16:00-17:00,0.02
weekday,0,3,8,17:00-18:30,0.02
weekday,0,3,9,18:30-22:30,0.02
weekday,0,4,0,06:00-07:00,0.02
weekday,0,4,1,07:00-08:00,0.02
weekday,0,4,2,08:00-09:00,0.02
weekday,0,4,3,09:00-10:00,0.02
weekday,0,4,4,10:00-12:00,0.02
weekday,0,4,5,12:00-14:00,0.02
weekday,0,4,6,14:00-16:00,0.02
weekday,0,4,7,16:00-17:00,0.02
weekday,0,4,8,17:00-18:30,0.02
weekday,0,4,9,18:30-22:30,0.02
weekday,0,5,0,06:00-07:00,0.02
weekday,0,5,1,07:00-08:00,0.02
weekday,0,5,2,08:00-09:00,0.02
weekday,0,5,3,09:00-10:00,0.02
weekday,0,5,4,10:00-12:00,0.02
weekday,0,5,5,12:00-14:00,0.02
weekday,0,5,6,14:00-16:00,0.02
weekday,0,5,7,16:00-17:00,0.02
weekday,0,5,8,17:00-18:30,0.02
weekday,0,5,9,18:30-22:30,0.02
weekday,0,6,0,06:00-07:00,0.02
weekday,0,6,1,07:00-08:00,0.02
weekday,0,6,2,08:00-09:00,0.02
weekday,0,6,3,09:00-10:00,0.02
weekday,0,6,4,10:00-12:00,0.02
weekday,0,6,5,12:00-14:00,0.02
