instance,instance_id,C_objective,G_objective,LS_objective,MILP_objective,MILP_share,MILP_stops,MILP_freq,MILP_gap
synthetic_12_stops_s400,I01,6.756678941250646,6.501933689833352,5.513823654976387,5.216400453070251,0.5731956273070962,10.0,7.0,0.009996122788400268
synthetic_16_stops_s401,I02,7.593370682293953,7.1089307969611655,6.134093558080565,5.557547637015065,0.5835408820904407,12.0,6.6,0.009901581358604474
synthetic_20_stops_s402,I03,9.327963537778219,8.682960491585588,7.9114897625896,7.112090627086031,0.5068639769879718,15.0,6.0,0.10836058154566863
synthetic_24_stops_s403,I04,9.52776795398385,8.530428470869651,8.819346286553492,7.301969983469235,0.5288379029090806,17.0,5.5,0.05694309995821267
synthetic_28_stops_s404,I05,9.637648418849544,8.758178232528996,8.720966422362428,8.403322333432657,0.4518479128797637,28.0,5.0,0.39224694083709727
synthetic_12_stops_s405,I06,7.4255453389394805,7.321275468960918,5.977480302651245,5.77757941260483,0.5429084786435318,10.0,7.0,0.009386943853903436
synthetic_16_stops_s406,I07,7.860148636953633,7.350638765159455,6.62095218251204,6.002240788008929,0.5744256418935023,12.0,6.5,0.009731619661081856
synthetic_20_stops_s407,I08,8.2292833742835,7.693056613272218,6.733167483853302,6.0746588200079294,0.6075912149949675,15.0,6.0,0.0264488769098536
synthetic_24_stops_s408,I09,9.466434386293503,8.74487626170497,8.086808785956547,7.166390304550096,0.5289089028149645,19.0,5.5,0.10232330505909663
synthetic_28_stops_s409,I10,9.942658164258004,8.8227361025503,9.180581075263367,7.710960678186537,0.5240297310650944,20.0,5.0,0.08288887751903892
synthetic_12_stops_s410,I11,7.48383359782193,7.345674280697346,6.233101150967635,5.918429691171729,0.4943701898034019,9.0,7.0,0.009982154503534726
synthetic_16_stops_s411,I12,8.036909159979311,7.640051291390111,6.458632612754011,5.895128087022303,0.5774522066648282,12.0,6.5,0.016171588537673226
synthetic_20_stops_s412,I13,8.38264959916406,7.771798433577438,7.323182606677774,6.452870091995797,0.530085211324051,14.0,6.0,0.008610333854218588
synthetic_24_stops_s413,I14,9.52751874621141,8.628468917008595,8.564177065357235,7.1268801585171495,0.5355780897084392,17.0,5.6,0.0862372622048701
synthetic_28_stops_s414,I15,9.790614551880795,8.854508499997577,8.788120966771821,7.463958813256601,0.4990784193710155,20.0,5.0,0.08891698563561479
synthetic_12_stops_s415,I16,6.505058021384791,6.393364416453346,5.295650533077137,5.181549239344198,0.5853815666680644,11.0,6.5,0.009872244401803523
synthetic_16_stops_s416,I17,7.672502873326295,7.292505319740028,6.262071358570941,5.920168849776971,0.5508335586003203,13.0,6.0,0.008606757471799602
synthetic_20_stops_s417,I18,8.33747801215735,7.671737405684579,6.884341775515786,6.077462222899811,0.5750487020038352,15.0,6.0,0.043566675629420654
synthetic_24_stops_s418,I19,8.965947362036975,8.220688934902572,8.28259363010158,7.03737316037591,0.5270874827349654,18.0,5.5,0.08265536952001162
synthetic_28_stops_s419,I20,10.097848316603004,9.025758097990318,9.183191435077829,7.768359689381722,0.49340931780855657,20.0,5.0,0.08288658730759567
synthetic_12_stops_s420,I21,6.823410059193554,6.458575003704722,5.298906177658803,4.882715601226302,0.606203815842139,9.0,7.0,0.00989096638014839
synthetic_16_stops_s421,I22,8.130849830510908,7.600428403404458,6.8844441448750215,6.254324454497349,0.5437493487480988,12.0,6.5,0.009968509386682653
synthetic_20_stops_s422,I23,8.273929589567265,7.568247945280608,6.873116847191959,6.031325622311839,0.5803626731366607,15.0,6.0,0.040051204275341507
synthetic_24_stops_s423,I24,9.903595899869227,9.195171272876653,8.912311394414484,7.904433284533333,0.4706469406711092,19.0,5.333333333333333,0.32973135965745803
synthetic_28_stops_s424,I25,9.64305690153118,8.615901901160447,8.997198873300464,7.654811322152234,0.4742845330824532,20.0,5.0,0.10070628280289338
synthetic_12_stops_s425,I26,7.049837650871147,6.701673491423287,5.547888311163633,5.141461542683538,0.6069960593210445,9.0,7.0,0.00988315025625163
synthetic_16_stops_s426,I27,7.659336274820821,7.159790920580955,6.154561417086162,5.565833581216685,0.576393872856832,12.0,6.5,0.00996160090786363
