instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,lambda_eq
route438_lambda_0.00,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013200100045651197,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0
route438_lambda_0.00,Stop-only MILP,10.525388251878525,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.5075640003196895,0.0032336811427242035,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.0
route438_lambda_0.00,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.7463303999975324,0.0028496367917920686,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.0
route438_lambda_0.00,Joint MILP,9.577336881353926,9.577336881353926,0.4985278731404669,0.38162280792563963,4075.110088644352,6603.2588457591755,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,36.04714289655996,4.619801899883896,0.1559275522583716,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.0
route438_lambda_0.05,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.013371100183576345,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.05
route438_lambda_0.05,Stop-only MILP,10.550314645535549,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.517607499845326,0.00858227807319791,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.05
route438_lambda_0.05,Frequency-only MILP,10.598536141135932,10.598536141135932,1.0292517175900214e-16,0.3237031817292447,3456.6228071152314,7221.745820384413,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,40.02610469585146,1.6797466999851167,0.0021438225478142216,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.05
route438_lambda_0.05,Joint MILP,9.60226327501095,9.577336881353926,0.4985278731404669,0.38162280792563963,4075.110088644352,6603.2588457591755,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,36.04714289655996,4.758015799801797,0.09780627270982066,,18,True,101101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.05
route438_lambda_0.10,Current practice,11.43418076986891,11.43418076986891,1.0292517175900214e-16,0.27793055323068655,2967.8456787456134,7710.522665082381,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.15841699506601,0.01350650005042553,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.1
route438_lambda_0.10,Stop-only MILP,10.575241039192571,10.525388251878525,0.4985278731404669,0.32820242144718104,3504.667359969536,7173.701291350631,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,36.19583857337645,1.5353093002922833,0.005741386389579346,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.1
