instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,mu_car,mu_ebike
route438_mu_c0.0035_e0.0015,Current practice,11.542538702292452,11.542538702292452,1.0292517175900214e-16,0.27231277397228937,2907.856945220724,7770.510661685148,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,37.86359120037524,0.01350380014628172,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.0015
route438_mu_c0.0035_e0.0015,Stop-only MILP,10.714843170067635,10.615137595439542,0.4985278731404669,0.3233640633838205,3453.0015754645488,7225.366358555148,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,33.990126257691585,0.6593544003553689,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.0015
route438_mu_c0.0035_e0.0015,Frequency-only MILP,10.706006697259543,10.706006697259543,1.0292517175900214e-16,0.31787128630945793,3394.3476616901635,7284.0202420131,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,37.86840394278654,0.7370659997686744,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.0035,0.0015
route438_mu_c0.0035_e0.0015,Joint MILP,9.768717578321246,9.669012003693153,0.4985278731404669,0.3764400521905053,4019.7666978810284,6658.597590799199,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,5.6,5.485714285714286,34.02375709404877,2.0851572998799384,0.0,,17,True,110101101111101111111010101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.0035,0.0015
route438_mu_c0.0035_e0.0036,Current practice,11.51128596490132,11.51128596490132,1.0292517175900214e-16,0.2739272747716291,2925.0971844277988,7753.2705940587575,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,38.44508322718594,0.012997699901461601,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.0035555555555555553
route438_mu_c0.0035_e0.0036,Stop-only MILP,10.683717481804027,10.584011907175935,0.4985278731404669,0.32504662035735554,3470.968543777689,7207.399564686017,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,34.53143846664881,0.6633585998788476,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.0035555555555555553
route438_mu_c0.0035_e0.0036,Frequency-only MILP,10.67471741626619,10.67471741626619,1.0292517175900214e-16,0.3195644327250037,3412.427707998315,7265.94037082172,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,38.41409898317205,0.7432431001216173,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.0035,0.0035555555555555553
route438_mu_c0.0035_e0.0036,Joint MILP,10.013926483217123,9.91422090858903,0.4985278731404669,0.36247483169485034,3870.6408863465263,6807.727448466863,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,24,5.6,5.485714285714286,35.478658199176664,2.706174399703741,0.04291775283548233,,18,True,111101101111101111111010101111,"5,7,7,5,5,5,5,5,7,5",MILP,0.0035,0.0035555555555555553
route438_mu_c0.0035_e0.0056,Current practice,11.48039497577677,11.48039497577677,1.0292517175900214e-16,0.2755298433483747,2942.2100069300454,7736.1579291098815,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,39.02313415445736,0.013553799595683813,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.00561111111111111
route438_mu_c0.0035_e0.0056,Stop-only MILP,10.652974427882677,10.553268853254584,0.4985278731404669,0.32671439703660055,3488.7776826185764,7189.590585321509,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,35.06937872788322,0.6781596001237631,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.00561111111111111
