instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,stop_budget,lambda_eq,rho_min,demand_scale
route438_L0.18_E0.15,Joint MILP,4.920388908904817,4.920388908904817,9.710365171036025e-17,0.6803924668920213,1566.4556529492966,735.8260958621577,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,25,5.5,5.5,35.55898142042563,14.298940900014713,0.5538539484477998,0.1735137665048313,17,True,101111111111111101101011111101,"6,5",0.18,0.15,0.75,1.0
route438_L0.18_E0.40,Joint MILP,8.528828656803336,8.528828656803336,9.710365171036025e-17,0.4790982346998151,1103.0194697653183,1199.2618375207505,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,30,2.5,12.5,38.905530600149646,14.271386400039773,0.9694386740146194,33.83920708093916,17,True,111111111111111111111111111111,"3,2",0.18,0.4,0.75,1.0
route438_L0.18_E0.80,Joint MILP,4.920388908904817,4.920388908904817,9.710365171036025e-17,0.6803924668920213,1566.4556529492966,735.8260958621577,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,25,5.5,5.5,35.55898142042563,14.32016460003797,0.9443052837974445,23.408186028920888,17,True,101111111111111101101011111101,"6,5",0.18,0.8,0.75,1.0
route438_L0.28_E0.15,Joint MILP,8.528828656803336,8.528828656803336,9.710365171036025e-17,0.4790982346998151,1103.0194697653183,1199.2618375207505,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,30,2.5,12.5,38.905530600149646,14.3089186999714,0.9694844328732399,32.90565505493367,17,True,111111111111111111111111111111,"3,2",0.28,0.15,0.75,1.0
route438_L0.28_E0.40,Joint MILP,8.528828656803336,8.528828656803336,9.710365171036025e-17,0.4790982346998151,1103.0194697653183,1199.2618375207505,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,30,2.5,12.5,38.905530600149646,14.311542699986603,0.9702273456178581,34.22337974545962,17,True,111111111111111111111111111111,"3,2",0.28,0.4,0.75,1.0
route438_L0.28_E0.80,Joint MILP,8.528828656803336,8.528828656803336,9.710365171036025e-17,0.4790982346998151,1103.0194697653183,1199.2618375207505,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,30,2.5,12.5,38.905530600149646,14.273944700020365,0.9700358260030515,34.59240643347856,17,True,111111111111111111111111111111,"3,2",0.28,0.8,0.75,1.0
route438_L0.38_E0.15,Joint MILP,4.507024675075411,4.485123209329485,0.14600977163950857,0.7064951188167254,1626.5513310381455,675.7304678629816,5.532925923543597,0.14600977163950843,1.0000000000000002,0.5526389550440258,22,6.0,5.142857142857142,34.07353193181437,14.284186699951533,0.5191344277507114,0.10430716403045855,17,True,101111111101101101101011101101,"7,5",0.38,0.15,0.75,1.0
route438_L0.38_E0.40,Joint MILP,4.527567859262839,4.527567859262839,9.710365171036025e-17,0.7037591931657498,1620.2524573577875,682.0293372010058,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,23,6.0,5.142857142857142,34.57334426469848,14.366195000009611,0.5287261880439631,0.16300607698846248,17,True,101111111111101101101011101101,"7,5",0.38,0.4,0.75,1.0
route438_L0.38_E0.80,Joint MILP,4.527567859262839,4.527567859262839,9.710365171036025e-17,0.7037591931657498,1620.2524573577875,682.0293372010058,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,23,6.0,5.142857142857142,34.57334426469848,14.428944099985529,0.5147898557914451,0.09212121723141106,17,True,101111111111101101101011101101,"7,5",0.38,0.8,0.75,1.0
route438_rho0.78,Joint MILP,8.528828656803336,8.528828656803336,9.710365171036025e-17,0.4790982346998151,1103.0194697653183,1199.2618375207505,5.386916151904089,-4.076124004863163e-17,1.0000000000000002,0.0,30,2.5,12.5,38.905530600149646,12.293365800054744,0.9700058034443497,33.41836620894251,17,True,111111111111111111111111111111,"3,2",0.28,0.2,0.78,1.0
